الاسم,الفئة,الكمية,البيع قطاعي,البيع جملة,التكلفة,الكود,حد الطلب
طلمبة حاتم 30 وان,حاتم سيف,92,430,400,380,5555,10
بلية SKF وان  6205,وان > وان,10,140,130,120,100415,2
جريبوكس lg صغير gm,GM,2,1100,1050,975,100032,1
طقم مساعد اكوا سيرفيس,العبودي,12,200,180,170,100157,5
لوك اكوا 4 طرف وان,وان > وان,4,400,390,370,100416,1
كامه عبد مصري,,0,40,30,25,100369,0
اكره وايت بوينت صغيره,استار,2,50,40,25,034/025,1
اكس  يونفيرسال ايكو,يونيفرسال,2,1200,1150,1050,034/025,1
اكس 14 حاتم,حاتم سيف,60,430,400,355,100315,5
اكس 14 زانوسي وان*,وان > وان,2,550,520,500,100417,1
اكس 18 حاتم,حاتم سيف,20,430,400,355,100316,5
اكس اكوا سيرفيس,العبودي,5,420,400,380,100158,2
اكس اكوا وان,وان > وان,2,580,570,550,100418,1
اكس العبد سيرفيس,العبودي,8,550,530,500,100159,3
اكس تركي بليه 3&4,مصري,2,500,450,380,100409,1
اكس تركي بليه 4&5,مصري,2,500,450,380,100410,1
اكس سامسونج سيرفيس,العبودي,1,1200,1150,1050,590797368,1
اكس وايت بوينت ايطالي 5ك 3&4,مصري,10,480,430,390,100412,2
اكس وايت بوينت ايطالي 7ك 3&5,مصري,10,480,430,390,100413,2
اكس وايت بوينت حاتم,حاتم سيف,1,530,500,470,100317,1
اكسZ7M,مصري,1,500,470,420,100491,1
اويل سيل 14 رولف,وان > وان,0,55,50,45,100420,1
اويل سيل 14 زانوسي ايطالي*,العبودي,11,50,40,33,113ظ023,20
اويل سيل 40*21*7 سيرفيس,العبودي,5,70,55,50,113ظ039,2
بايميتل ثرموديسك توشيبا Q-max,ثلاجة,0,70,60,45,100015,0
بادي غسالة زانوسى استلس ناسو,استعمال,0,0,0,0,100611,0
بادي  وايت ويل 1000&800,,0,0,0,0,100612,0
بادي اكواتك باب صغير,استعمال رش دمياط,3,2000,1900,1750,100613,1
بوردة ثلاجه يونيون اير سوكت رفيع,يونيون اير,2,600,550,400,100017,1
بوردة ثلاجه يونيون اير سوكت عريض,يونيون اير,2,600,550,400,100018,1
بوردة شاشة وايت ويل 1000 استعمال,استعمال,1,0,0,0,100614,
بورده 3 زرار,وان > وان,2,1900,1850,1750,100615,1
بورده تركي4زر افقي,وان > وان,4,2100,2000,1900,100616,2
بورده زانوسي 600,الكترولوكس,5,0,0,0,100617,2
بورده سامسونج اتوماتيك استعمال,استعمال,1,0,0,0,100618,0
بورده فيكتوريا استعمال,استعمال,7,850,800,700,100619,2
بورده يونفرسال 8ك اصلي,يونيفرسال,5,950,850,750,100620,2
تاكو Lg  اتوماتيك كيس شفاف,متنوع,2,250,200,115,100610,1
تايمر 24 ساعه بفيشة,متنوع,2,140,110,95,100019,1
تايمر زانوسي 1009 حاتم,حاتم سيف,1,1400,1350,1300,100621,1
تايمر زانوسي 1009 مانرو,مانرو,1,0,0,0,100622,
تايمر عصاره توشيبا كوبي,صيني,20,60,55,45,100623,5
تايمر فريش3طرف,محمد السيد,60,70,50,50,100624,5
تايمر1009 استعمال,استعمال,0,0,0,0,100625,0
ثرموستات  تلاجة تجميد قسيس,قسيس,5,200,180,160,100014,2
ثرموستات  ديب فريزر,متنوع,2,0,0,0,100626,1
ثرموستات دانفوس 3طرف تلاجه,متنوع,2,0,0,0,100627,1
ثرموستات رانكو ثلاجه + ديب فريزر,تايوان,5,100,90,80,100628,2
خرطوم صرف بكوع 1.5م مانرو,مانرو,10,100,95,85,100608,5
ديفكون,متنوع > لاصق,5,0,0,0,100590,2
ديفيكون ماليزي,متنوع > لاصق,0,0,0,,100591,0
ريلاي موتور,توشيبا,0,0,0,,100629,0
زور 14 حاتم,حاتم سيف,0,0,0,,100604,0
زور العبد طويل زانوسي,توشيبا,0,0,0,,100630,0
زور العبد قصير زانوسي,توشيبا,0,0,0,,100631,0
زور العبد قصير سرفيس,العبودي,0,0,0,,100607,0
سليكون مصري,مصري,10,50,40,0,100632,5
سوستة شيالة حله,توشيبا,0,0,0,,100633,0
سوسته فريجدير,توشيبا,0,0,0,,100634,0
سوسته وايت بوينت مورليني,توشيبا,0,0,0,,100635,0
سير 1194 سيرفيس*,العبودي,5,0,0,0,116ظ448,2
سير 1194 ناعم الروضة*,الروضة,5,150,130,110,100087,2
سير 1196 ايجل*,ايجل,5,190,170,145,459048,2
سير 1196 مشرشر حاتم,حاتم سيف,5,0,0,0,030ز040ز032,2
سير 1196سيرفيس*,العبودي,1000,160,150,125,116ظ318,1
سير 1202 استعمال,توشيبا,0,0,0,,100639,0
سير 1215 استعمال,توشيبا,0,0,0,,100640,0
سير 1217 مانرو,مانرو,2,0,0,0,100641,1
سير 1287 سيرفيس *,العبودي,5,0,0,0,116ظ226,2
سير 1287 مانرو*,مانرو,4,0,0,0,100643,2
سير 1300*9.5,ايطالي,10,0,0,0,100644,2
سير 1308,تايوان,2,0,0,0,100645,1
سير 1325*9.5 صيني,صيني,10,70,50,38,100646,2
سير 500*9.5,تايوان,5,0,0,0,100647,1
سير 518*13 اصلي,ايطالي,5,45,40,30,100648,2
سير 525*9 (1155259),تايوان,5,0,0,0,100649,2
سير 525*9.5 تايلاندي,تايوان,1000,0,0,0,100650,2
سير 550 تايلاندي,تايوان,5,0,0,0,100651,2
سير 700*9.5 تايلاندي,تايوان,1000,0,0,0,100652,1
سير 725*9.5 تايلاندي,متنوع,1000,0,0,0,100653,1
سير اكواتيك1287حاتم*,حاتم سيف,6,0,0,0,100654,2
سير فيكتوريا 1184,متنوع,3,0,0,0,100655,1
سير يونفرسال فوق 450 اصلي,صيني,3,0,0,0,100656,1
سيلكون,متنوع > لاصق,20,50,45,0,2014385695,5
شداد وايربول,متنوع,2,0,0,0,100657,1
شيكارتون,متنوع,20,0,0,0,100658,5
صمام اكواتك ايجل*,ايجل,2,140,130,120,100219,1
صمام اكواتك حاتم,حاتم سيف,25,150,145,135,100325,5
صمام اكواتك وان*,وان > وان,3,160,145,130,100438,1
صمام العبد حاتم,حاتم سيف,20,150,140,130,100326,5
صمام ثلاثي حاتم*,حاتم سيف,2,300,250,225,100328,1
صمام فيكتوريا حاتم 1,حاتم سيف,6,300,280,265,100330,10
صمام فيكتوريا وان*,وان > وان,3,390,370,350,100440,1
صمام مفرد اكواتك سيرفيس,العبودي,30,130,115,105,100141,5
صموله جلبه هاف توشيبا,توشيبا العربي,0,0,0,0,100659,0
ضفيره indest استعمال,,0,0,0,0,100660,0
ضفيره استعمال,استعمال,0,0,0,0,100661,0
طارة هاف فريش,توشيبا,0,0,0,,100662,0
طاره 1884,توشيبا,0,0,0,,100663,0
طبق موتور حديث,ثلاجة,0,35,30,11,100004,0
طقم اصلاح مساعد,توشيبا,0,0,0,,100664,0
طقم حساس يونيون اير,ثلاجة,0,100,90,65,100016,0
طقم كامة وزور واكوره حاتم,توشيبا,0,0,0,,100666,0
طقم مساعد اكواتك حاتم,حاتم سيف,20,200,170,160,100336,5
طقم مسمار 17 استلس  الروضة,الروضة,20,50,45,36,2014384454,5
طقم مسمار توشيبا,توشيبا,0,0,0,,100667,0
طقم مسمار ستانلس (10mm),توشيبا,0,0,0,,100668,0
طقم مسمار ستانلس بصاموله (17mm),توشيبا,0,0,0,,100669,0
طلمبة lg سيرفيس 26 فولت,العبودي,0,0,0,0,100601,0
طلمبة العبد لف مربع ايطالى سيرفيس*,العبودي,2,444,424,414,100174,1
طلمبة العبد لف مربع وان,وان > وان,4,370,350,330,100451,1
طلمبة لف 8 ريشة حاتم,حاتم سيف,5,390,370,345,100338,1
طلمبة لف 8 ريشة وان,وان > وان,3,370,350,330,100452,1
طلمبة لف kb,kb,20,250,230,195,100540,4
طلمبة يونيفرسال فوق بالكفر,استار,4,0,0,0,100670,1
طلمبه  m2 استعمال,استعمال,15,0,0,0,100597,3
طمبورة غ زانوسي 18 استعمال,استعمال,5,0,0,0,100671,3
طمبورة غ زانوسي z7m استعمال,استعمال,4,0,0,0,100672,1
طمبورة معدن غساله توشيبا هاف,توشيبا العربي,3,100,90,85,100673,1
طمبوره توشيبا اصلي فوق10-11ك,توشيبا العربي,0,0,0,0,100674,0
طمبوره ماتور سامسونج استعمال,,0,0,0,0,100675,0
فريم كمفورت,متنوع,7,140,110,90,100680,2
فلتر m2 استعمال,استعمال,5,70,50,40,100681,2
فلتر اكواتيك 1,متنوع,5,65,55,45,100682,2
فلتر العبد استعمال,استعمال,3,70,50,40,100683,1
فلتر تركي (كومفورت),توشيبا,0,0,0,,100684,0
قاعده طلمبه توشيبا,توشيبا العربي,3,0,0,0,100686,1
قرصة زانوسى استعمال اصلي,استعمال,5,130,100,0,100687,2
كفر طلمبه اكوا وش,متنوع,10,0,0,0,100690,2
لوك t3 بيكو سيرفس*,العبودي,30,0,0,0,148ظ100,10
لوك اكواتك ابيض في اسود 148/006,متنوع,1,0,0,0,100691,1
لوك اكواتك حسين جابر,حسين  جابر,1,220,200,185,100606,1
لوك تركي ون,وان > وان,1,0,0,0,100692,1
لوك جرونيا,متنوع,1,0,0,0,100693,1
لوك زانوسي بيترون,متنوع,1,0,0,0,100694,1
لوك العبد وان*,وان > وان,30,320,300,285,100695,10
لوك كهرباء فريجيدير حاتم*,حاتم سيف,2,225,200,175,006ز050ز032,1
لوك فيستيل 5M ايطالي سيرفس*,العبودي,30,200,180,160,148ظ094,4
لوك كومفورت استعمال,استعمال,0,0,0,0,100697,0
لوك وايت بوينت تركي A2 سيرفس,العبودي,30,200,180,160,148/036,10
لوك وايت بوينت سيرفي*,العبودي,30,220,200,177,148ظ181,10
ليفيل lg ستار,استار,3,150,120,85,100357,1
مقبض زانوسي 14,الروضة,3,60,50,45,100599,1
مقبض زانوسي 18,الروضة,2,60,50,45,100600,1
مقبض فيكتوريا ابيض سيرفيس,العبودي,20,50,40,19,139ظ180,5
مقبض فيكتوريا فضي سيرفيس,العبودي,10,60,50,26.25,139ظ182,3
مقبض كريازى مثلث,متنوع,2,40,30,15,100698,1
مكثف 16 uf ايطالى سيرفيس*,العبودي,20,90,75,61,112ظ016,5
موتور زانوسي m2 استعمال,استعمال,2,0,0,0,100699,1
موتور سامسون اكس تخين (اخضر),متنوع,3,0,0,0,100700,1
موتور شداد يونفرسال 3 طرف بذراع اصلي استعمال,استعمال,5,0,100,0,100701,2
موتور شداد يونفرسال اصلي 2 طرف,يونيفرسال,3,0,0,0,100702,1
موتور عصاره mma,صيني,2,0,0,0,100703,1
موتور عصاره 60 وات العبودى,العبودي,3,430,400,370,100704,1
موتور عصر 10ك T كوبي,صيني,2,0,0,0,100705,1
موتور عصر 90F ktm,ktm,2,0,0,0,100595,1
موتور عصر غ توشيبا هاف 10&12ك اصلى,توشيبا العربي,3,750,750,550,100603,2
موتور غسالة  اتوماتيك وايت ويل استعمال,استعمال,0,0,0,0,100598,0
هيتر استعمال,استعمال,3,0,100,0,100596,1
هيتر اكوا حاتم,حاتم سيف,5,0,0,0,100605,2
هيتر اكواتك  مانرو,مانرو,5,0,0,0,100609,1
هيتر ديب فريزر توشيبا اصلي5درج,ديب فريزر,0,200,170,130,2014388188,0
هيتر زانوسي  m2 سيرفيس,العبودي,5,250,240,215,100156,2
لوك معدل A2 سيرفس*,العبودي,29,0,0,0,148ظ036,10
لوك هوت بوينت M4 سيرفس,العبودي,30,0,0,0,148ظ026,10
طقم مساعد اكواتك*,الكترولوكس,30,240,210,200,0,10
فلتر تلاجة ايطالى,ايطالي,10,40,30,25,0,2
بلف شحن تلاجة,تايوان,10,25,15,10,0,2
سير 600 الصخرة,الصخرة,5,25,20,15,0,5
مقبض فاملى استار,استار,5,80,70,45,0,2
لوك LG فوق سيرفيس,العبودي,1,700,650,540,0,0
هيتر تلاجة 12 KTM,ktm,3,90,70,60,0,1
هيتر تلاجة 14 KTM,ktm,3,90,70,60,0,1
طلمبة GM فريرة,GM,10,220,200,180,0,2
طلمبة KB فةق,kb,35,250,230,195,0,2
اكس اكوا حاتم,حاتم سيف,2,350,330,310,0,1
سير 1194 خشن الروضة,الروضة,5,120,100,85,0,2
